Data,Quantidade,Cod_produto,Valor,Cod_vendedor
2023-10-17,71,10,2937,2
2023-03-06,39,2,155,3
2023-12-02,28,6,3962,4
2023-06-01,18,6,3962,1
2023-12-02,21,5,2615,5
2023-03-03,65,5,2615,2
2023-09-08,72,9,4563,4
2023-09-11,64,8,4531,2
2023-04-14,99,2,155,5
2023-09-03,91,8,4531,2
2023-10-19,13,5,2615,5
2023-03-15,60,3,757,5
2023-05-15,24,6,3962,1
2023-12-03,71,8,4531,3
2023-01-23,65,7,3625,1
2023-02-03,70,6,3962,5
2023-07-22,59,8,4531,1
2023-03-11,19,9,4563,1
2023-03-12,28,9,4563,3
2023-04-08,86,2,155,3
2023-02-23,22,4,3473,2
2023-04-27,63,9,4563,2
2023-03-07,13,5,2615,5
2023-07-14,47,7,3625,3
2023-12-04,100,10,2937,3
2023-11-10,1,5,2615,1
2023-03-18,14,2,155,2
2023-12-08,45,1,4989,3
2023-07-01,92,2,155,4
2023-08-31,23,8,4531,3
2023-08-04,34,5,2615,2
2023-07-24,22,7,3625,5
2023-10-26,30,8,4531,5
2023-11-23,42,4,3473,1
2023-08-23,1,1,4989,3
2023-06-27,76,10,2937,3
2023-11-30,100,10,2937,3
2023-09-23,90,1,4989,5
2023-03-11,71,2,155,3
2023-10-14,76,10,2937,4
2023-10-25,36,1,4989,3
2023-02-25,7,7,3625,5
2023-03-16,63,1,4989,1
2023-04-04,31,3,757,3
2023-05-14,89,7,3625,5
2023-12-24,96,8,4531,1
2023-01-27,54,6,3962,5
2023-06-01,9,3,757,4
2023-12-09,94,2,155,4
2023-09-05,28,2,155,4
2023-01-22,29,4,3473,2
2023-03-24,7,5,2615,2
2023-08-03,95,6,3962,5
2023-12-19,65,1,4989,1
2023-03-14,3,2,155,2
2023-04-15,29,1,4989,3
2023-01-21,52,7,3625,3
2023-01-13,62,5,2615,2
2023-04-05,8,9,4563,4
2023-05-14,70,7,3625,2
2023-09-06,22,6,3962,5
2023-05-03,36,2,155,4
2023-01-10,22,5,2615,1
2023-05-01,66,5,2615,3
2023-09-02,84,9,4563,1
2023-12-29,37,6,3962,1
2023-02-25,44,10,2937,5
2023-05-31,48,8,4531,1
2023-04-26,12,8,4531,4
2023-01-11,48,5,2615,2
2023-04-27,78,6,3962,4
2023-10-19,61,2,155,5
2023-09-08,86,6,3962,3
2023-12-01,92,4,3473,3
2023-06-14,51,8,4531,2
2023-03-16,61,6,3962,1
2023-03-08,31,9,4563,1
2023-10-09,99,9,4563,5
2023-07-25,32,8,4531,2
2023-04-01,93,7,3625,5
2023-06-19,68,5,2615,1
2023-04-14,47,10,2937,2
2023-03-24,53,3,757,1
2023-07-22,95,9,4563,3
2023-11-12,53,5,2615,2
2023-01-31,11,9,4563,4
2023-10-01,94,9,4563,3
2023-01-24,91,3,757,2
2023-04-10,73,7,3625,5
2023-02-13,39,3,757,1
2023-11-03,26,9,4563,3
2023-06-07,42,5,2615,3
2023-10-12,35,8,4531,2
2023-01-14,40,7,3625,4
2023-04-14,18,10,2937,2
2023-03-20,83,9,4563,4
2023-01-11,66,3,757,3
2023-10-14,13,3,757,4
2023-03-06,37,7,3625,3
2023-12-06,39,9,4563,4
2023-12-01,15,5,2615,3
2023-12-07,22,2,155,4
2023-10-09,27,6,3962,5
2023-09-27,51,5,2615,3
2023-10-22,61,5,2615,2
2023-06-01,93,6,3962,3
2023-12-21,49,3,757,5
2023-09-20,39,6,3962,2
2023-11-29,63,7,3625,3
2023-08-15,14,9,4563,1
2023-04-24,86,1,4989,1
2023-02-08,52,1,4989,2
2023-05-27,11,7,3625,1
2023-02-04,72,10,2937,2
2023-03-12,29,8,4531,4
2023-07-04,1,7,3625,2
2023-06-14,5,5,2615,2
2023-12-30,16,3,757,2
2023-06-15,61,3,757,1
2023-01-06,88,1,4989,1
2023-05-25,13,5,2615,1
2023-11-25,33,6,3962,4
2023-07-04,31,10,2937,3
2023-03-23,18,2,155,4
2023-02-17,32,5,2615,1
2023-10-10,94,2,155,5
2023-12-13,16,2,155,2
2023-02-12,39,2,155,5
2023-02-24,54,9,4563,4
2023-08-25,92,10,2937,3
2023-02-13,1,6,3962,4
2023-11-25,18,7,3625,5
2023-07-17,26,6,3962,3
2023-04-28,74,5,2615,5
2023-01-24,32,9,4563,4
2023-04-09,88,7,3625,3
2023-07-05,77,5,2615,3
2023-05-16,75,10,2937,3
2023-11-05,23,3,757,4
2023-08-02,3,10,2937,2
2023-11-22,63,8,4531,5
2023-10-18,30,8,4531,4
2023-03-17,91,9,4563,4
2023-10-17,95,1,4989,4
2023-09-27,7,1,4989,3
2023-01-06,98,7,3625,2
2023-09-17,82,6,3962,3
2023-12-17,83,1,4989,4
2023-12-18,75,7,3625,3
2023-03-08,28,7,3625,1
2023-08-05,99,10,2937,1
2023-05-20,76,1,4989,3
2023-12-02,31,8,4531,4
